commenter_co,commenter_name,commenter_page,commenter_star,commenter_zan
" 个人认为比夏洛更有层次，马丽简直喜剧界斯大林，笑声是制裁性的
        ",辣眼看电视,https://www.douban.com/people/151784886/,推荐,3445
" 可能这种电影存在的意义就是为了某些资本洗黑钱的吧
        ",傲寒,https://www.douban.com/people/138954658/,2017-10-01 10:42:16,19
" 开心麻花回归纯粹的喜剧路线，马丽出场一开口就忍不住笑了…变身后进入女浴室的狂欢，达到全片最高潮，“好运来”莫名的喜庆，吴良太帅！2017版《你的名字》+《摔跤吧爸爸》+《激战》。“是不是有种恍然大明白的感觉？”哈哈哈…
        ",影志,https://www.douban.com/people/tjz230/,推荐,2046
" 十一档票房冠军！比「夏洛特」好，马丽表演真的很厉害！要说Bug，可能就是拜师学艺后，练了那么久拳击的艾伦怎么还是一肚子囊肉，完全不符合人设呀....
        ",朝阳区白百合,https://www.douban.com/people/50060410/,还行,1729
" 事实证明，只要价值观不歪，开心麻花的喜剧还是很上乘的
        ",刘十九,https://www.douban.com/people/4901199/,推荐,1917
" 抱着打三颗星的预期看的，没想到这电影给了我五颗星的惊喜。真的好看，把反转运用到极致，笑点密集，差点笑断气。好电影能说服你吃下一切剧情，性转CP我吃下了，两个中年大老爷卖腐我吃下了，连杀马特耍帅我也吃下了……马丽太帅了，沈腾帅不过三秒，全片都很酷，燃得我都想去打拳了。
        ",小烨,https://www.douban.com/people/3984361/,力荐,1453
" 剧情老人设老桥段老，但是没耽误好笑，男主演得居然真可以，娘得自然娘得清新，有的角度还有点像盗版李易峰。鼓励性四星
        ",黄青蕉,https://www.douban.com/people/sakimay/,推荐,1128
" 。。。
        ",红藕香残玉簟秋,https://www.douban.com/people/127437486/,2017-10-03 15:57:31,0
" GOGO POWER RANGERS
        ",        柒。,https://www.douban.com/people/154141451/,2017-10-03 18:44:22,0
" cosplay服装
        ",基本粒子,https://www.douban.com/people/162672445/,2017-10-02 12:03:24,1
" 怕想猎杀的是宅男群体吧
        ",何小二,https://www.douban.com/people/159186254/,2017-09-30 09:51:08,0
" 休想！！
        ",闲来扯淡,https://www.douban.com/people/160968490/,2017-10-01 13:59:48,0
" 你当我是浮夸吗
                
                ",厄喏,https://www.douban.com/people/164733583/,2017-09-30 22:33:03,0
" 始终没办法喜欢开心麻花的电影，满场尴尬到不行。甚至在身体互换梗这个题材里，也不算特别突出的，笑点的打磨程度，远不如夏洛特，虽然那部也挺奇怪的。开心麻花的问题始终是，你能感觉到他们卖力在演，一直出戏。
        ",桃桃淘电影,https://www.douban.com/people/qijiuzhiyue/,还行,558
" 没有生硬的堆砌网络段子，没有尴尬的零演技小花鲜肉，没有像群英会一样请大牌演员客串......也许开心麻花没有做的特别优秀，但是犯的错误比同行少，就已经成功了一半吧。长评：https://movie.douban.com/review/8835503/
        ",大海里的针,https://www.douban.com/people/65569388/,推荐,979
" 太可怕了。周围所有人笑到抽筋癫狂背过气儿，然后我在中间看着银幕像个傻逼，史上观影经历最魔幻现实的一次。
        ",杨欢喜Metiche,https://www.douban.com/people/metiche/,很差,467
" 薛皓文和樊野长得一毛一样！！！
        ",海边的卡夫卡,https://www.douban.com/people/zcs1222/,还行,335
" 大失所望，连这种身份互置喜剧的平均水准都达不到，所谓演过好几百场、千锤百炼的笑点全都是廉价无聊老掉牙的性笑话和周星驰。亏得马丽和艾伦老师的演技撑场啊，否则就是一星的货。对了，再重申一遍，驴得水不是开心麻花的作品。
        ",m89,https://www.douban.com/people/duzhouchi/,较差,409
" 尹正那五秒客串太令人心痛了！已经从一剪梅变成一剪肥了！
        ",王大根,https://www.douban.com/people/diewithme/,推荐,342
" 和我一样有恐怖感的请点“有用”。
        ",慕容七,https://www.douban.com/people/19296065/,2017-09-21 01:51:45,34
" 这种东西居然能上映?
        ",D.wade,https://www.douban.com/people/156912551/,2017-09-29 20:14:33,0
" 我其实想看的是 。。。。。本。。本子
        ",LUQK,https://www.douban.com/people/159948345/,2017-10-02 22:19:38,0
" 我
        ",开心果,https://www.douban.com/people/167557414/,2017-10-03 15:05:50,0
" 都是小孩子，搞那么大，违和感
        ",摆姿势,https://www.douban.com/people/88088287/,2017-10-03 12:30:30,0
" 十月烂片季已经来了
        ",Story,https://www.douban.com/people/167472551/,2017-10-01 17:19:23,0
" 战队性质的吗？
                
                ",TaoHuang0924,https://www.douban.com/people/148936481/,2017-10-01 09:28:36,0
" 开心麻花的东西说实话，不叫电影
        ",马田史高,https://www.douban.com/people/59025385/,很差,342
" 非常老套也非常尴尬的喜剧，真的受不了沈腾夸张的表情，不，是所有演员夸张的表情
        ",小时候可牛B了,https://www.douban.com/people/56055715/,较差,380
" 6.8/10三星半，真正的喜剧，旁边的导演朋友和周黎明全程都笑岔气了。类型和定位很明确，开心麻花每部电影的背后都是上百场舞台剧的演出经验，剧本的笑点每场都在根据观众的反应在调整，上百场之后绝对是一个笑点密集的喜剧剧本，电影拍起来会容易很多，虽然剧作也偏弱，但已经是这个档期最好喜剧片了。
        ",二月鸟语,https://www.douban.com/people/p2165/,推荐,491
" 全程保持尴尬又不失礼貌的微笑
        ",我爱罗宾,https://www.douban.com/people/49867478/,2017-09-30 11:00:22,332
" 只有沈腾的部分好笑，其他部分真是腻歪。主要是这个互换身体的老梗并没什么新花样～还有最致命的是全片审美太low了…
        ",华盛顿樱桃树,https://www.douban.com/people/49213881/,较差,281
" 看了点映。全程笑点不断，而且完全不尬，是真的逗，bgm也都恰到好处，乐的我出了电影院还在回味。大情节上确实有俗套的地方，不过这已经不重要了，重要的是，下了班喝了酒的晚上 看了这样一部电影，觉得轻松又快乐～ 多一星给当天晚上的我们。
        ",Violin.,https://www.douban.com/people/Viooolin/,力荐,428
" 这个脸有点精神污染..
        ",阿噗不高兴,https://www.douban.com/people/146256272/,较差,25
" 因为儿子这段时间超级迷托马斯，因此下了这部电影，在无字幕，无中文配音的艰苦条件下，连续3天重复看了N遍，故事情节紧凑，音效，画面都很好。
尤其是对比现在国内的动画片，简直没法比，尤其是配乐和情节，还有画面色彩，对于孩子来说，接触此类电影可以开发思维。
        ",Jane,https://www.douban.com/people/10337683/,力荐,26
